iterations;evals;births;elapsed;all_size;firsts_size;lasts_size;geno_uni;sol_uni;fit_uni;best_fitness;seed;problem;solver_sigma;objective;best→fitness;genotype_size
5;100;100;0.6802;20;1;20;1.0;1.0;1.0;0.3206988592510377;2;ea.p.n.Large-5;cmaEs;minimize;0.3206988592510377;212
10;200;200;1.3327;20;1;20;1.0;1.0;1.0;0.3207481520081047;2;ea.p.n.Large-5;cmaEs;minimize;0.3207481520081047;212
15;300;300;1.928;20;1;20;1.0;1.0;1.0;0.3276471380404423;2;ea.p.n.Large-5;cmaEs;minimize;0.3276471380404423;212
0;15;15;0.086;15;1;15;1.0;1.0;1.0;0.3772574095169516;1;ea.p.n.Large-5;differentialEvolution;minimize;0.3772574095169516;212
5;90;90;0.4937;15;1;15;1.0;1.0;1.0;0.32229853903501576;1;ea.p.n.Large-5;differentialEvolution;minimize;0.32229853903501576;212
10;165;165;0.8396;15;1;15;1.0;1.0;1.0;0.31319467642977544;1;ea.p.n.Large-5;differentialEvolution;minimize;0.31319467642977544;212
15;240;240;1.197;15;1;15;1.0;1.0;1.0;0.31319467642977544;1;ea.p.n.Large-5;differentialEvolution;minimize;0.31319467642977544;212
0;15;15;0.0703;15;1;15;1.0;1.0;1.0;0.4025996953151853;2;ea.p.n.Large-5;differentialEvolution;minimize;0.4025996953151853;212
5;90;90;0.4318;15;1;15;1.0;1.0;1.0;0.365144104241413;2;ea.p.n.Large-5;differentialEvolution;minimize;0.365144104241413;212
10;165;165;0.8034;15;1;15;1.0;1.0;1.0;0.3291519524064331;2;ea.p.n.Large-5;differentialEvolution;minimize;0.3291519524064331;212
15;240;240;1.1681;15;1;15;1.0;1.0;1.0;0.32634516908444866;2;ea.p.n.Large-5;differentialEvolution;minimize;0.32634516908444866;212
0;100;100;0.5159;100;1;100;1.0;1.0;1.0;0.3074284582404472;1;ea.p.n.Large-5;pso;minimize;0.3074284582404472;212
0;100;100;0.4542;100;1;100;1.0;1.0;1.0;0.31932535851476795;2;ea.p.n.Large-5;pso;minimize;0.31932535851476795;212
0;30;30;0.1989;30;1;30;1.0;1.0;1.0;0.3772574095169516;1;ea.p.n.Large-5;es-0.02;minimize;0.3772574095169516;212
5;180;180;0.9027;30;1;30;1.0;1.0;1.0;0.4914285008571511;1;ea.p.n.Large-5;es-0.02;minimize;0.4914285008571511;212
0;30;30;0.1268;30;1;30;1.0;1.0;1.0;0.39494783381286813;2;ea.p.n.Large-5;es-0.02;minimize;0.39494783381286813;212
5;180;180;0.9343;30;1;30;1.0;1.0;1.0;0.37333387292547826;2;ea.p.n.Large-5;es-0.02;minimize;0.37333387292547826;212
0;30;30;0.1481;30;1;30;1.0;1.0;1.0;0.3772574095169516;1;ea.p.n.Large-5;es-0.25;minimize;0.3772574095169516;212
5;180;180;0.8565;30;1;30;1.0;1.0;1.0;0.3220294892034298;1;ea.p.n.Large-5;es-0.25;minimize;0.3220294892034298;212
0;30;30;0.1285;30;1;30;1.0;1.0;1.0;0.39494783381286813;2;ea.p.n.Large-5;es-0.25;minimize;0.39494783381286813;212
5;180;180;0.9656;30;1;30;1.0;1.0;1.0;0.3511084905036945;2;ea.p.n.Large-5;es-0.25;minimize;0.3511084905036945;212
0;30;30;0.133;30;1;30;1.0;1.0;1.0;0.3772574095169516;1;ea.p.n.Large-5;es-0.5;minimize;0.3772574095169516;212
5;180;180;0.8501;30;1;30;1.0;1.0;1.0;0.45264277485441196;1;ea.p.n.Large-5;es-0.5;minimize;0.45264277485441196;212
0;30;30;0.2049;30;1;30;1.0;1.0;1.0;0.39494783381286813;2;ea.p.n.Large-5;es-0.5;minimize;0.39494783381286813;212
5;180;180;0.9042;30;1;30;1.0;1.0;1.0;0.3312212606738181;2;ea.p.n.Large-5;es-0.5;minimize;0.3312212606738181;212
0;100;100;0.5076;100;1;100;1.0;1.0;1.0;0.3074284582404472;1;ea.p.n.Large-5;ga-0.02;minimize;0.3074284582404472;212
0;100;100;0.5093;100;1;100;1.0;1.0;1.0;0.31932535851476795;2;ea.p.n.Large-5;ga-0.02;minimize;0.31932535851476795;212
0;100;100;0.7306;100;1;100;1.0;1.0;1.0;0.3074284582404472;1;ea.p.n.Large-5;ga-0.25;minimize;0.3074284582404472;212
0;100;100;0.6041;100;1;100;1.0;1.0;1.0;0.31932535851476795;2;ea.p.n.Large-5;ga-0.25;minimize;0.31932535851476795;212
0;100;100;0.5289;100;1;100;1.0;1.0;1.0;0.3074284582404472;1;ea.p.n.Large-5;ga-0.5;minimize;0.3074284582404472;212
0;100;100;0.5377;100;1;100;1.0;1.0;1.0;0.31932535851476795;2;ea.p.n.Large-5;ga-0.5;minimize;0.31932535851476795;212
5;110;110;1.4571;22;1;22;1.0;1.0;1.0;0.3517757282693046;1;ea.p.n.Maze-9;cmaEs;minimize;0.3517757282693046;464
10;220;220;2.8901;22;1;22;1.0;1.0;1.0;0.34523855405474263;1;ea.p.n.Maze-9;cmaEs;minimize;0.34523855405474263;464
5;110;110;1.2;22;1;22;1.0;1.0;1.0;0.37226584155656567;2;ea.p.n.Maze-9;cmaEs;minimize;0.37226584155656567;464
10;220;220;2.3635;22;1;22;1.0;1.0;1.0;0.3790343129770719;2;ea.p.n.Maze-9;cmaEs;minimize;0.3790343129770719;464
0;15;15;0.1299;15;1;15;1.0;1.0;1.0;0.3485229606959155;1;ea.p.n.Maze-9;differentialEvolution;minimize;0.3485229606959155;464
5;90;90;0.8563;15;1;15;1.0;1.0;1.0;0.3485229606959155;1;ea.p.n.Maze-9;differentialEvolution;minimize;0.3485229606959155;464
10;165;165;1.4714;15;1;15;1.0;1.0;1.0;0.3485229606959155;1;ea.p.n.Maze-9;differentialEvolution;minimize;0.3485229606959155;464
15;240;240;2.0862;15;1;15;1.0;1.0;1.0;0.3437381377859545;1;ea.p.n.Maze-9;differentialEvolution;minimize;0.3437381377859545;464
0;15;15;0.1578;15;1;15;1.0;1.0;1.0;0.3867200235569105;2;ea.p.n.Maze-9;differentialEvolution;minimize;0.3867200235569105;464
5;90;90;0.7869;15;1;15;1.0;1.0;1.0;0.38163288599477674;2;ea.p.n.Maze-9;differentialEvolution;minimize;0.38163288599477674;464
10;165;165;1.4437;15;1;15;1.0;1.0;1.0;0.36094512355521696;2;ea.p.n.Maze-9;differentialEvolution;minimize;0.36094512355521696;464
15;240;240;2.1258;15;1;15;1.0;1.0;1.0;0.36094512355521696;2;ea.p.n.Maze-9;differentialEvolution;minimize;0.36094512355521696;464
0;100;100;1.0228;100;1;100;1.0;1.0;1.0;0.3485229606959155;1;ea.p.n.Maze-9;pso;minimize;0.3485229606959155;464
0;100;100;0.9363;100;1;100;1.0;1.0;1.0;0.3843284260986825;2;ea.p.n.Maze-9;pso;minimize;0.3843284260986825;464
0;30;30;0.3503;30;1;30;1.0;1.0;1.0;0.3485229606959155;1;ea.p.n.Maze-9;es-0.02;minimize;0.3485229606959155;464
5;180;180;1.7207;30;1;30;1.0;1.0;1.0;0.37958805273119645;1;ea.p.n.Maze-9;es-0.02;minimize;0.37958805273119645;464
0;30;30;0.351;30;1;30;1.0;1.0;1.0;0.3867200235569105;2;ea.p.n.Maze-9;es-0.02;minimize;0.3867200235569105;464
5;180;180;1.992;30;1;30;1.0;1.0;1.0;0.39129675740890646;2;ea.p.n.Maze-9;es-0.02;minimize;0.39129675740890646;464
0;30;30;0.291;30;1;30;1.0;1.0;1.0;0.3485229606959155;1;ea.p.n.Maze-9;es-0.25;minimize;0.3485229606959155;464
5;180;180;1.743;30;1;30;1.0;1.0;1.0;0.38764108237349587;1;ea.p.n.Maze-9;es-0.25;minimize;0.38764108237349587;464
0;30;30;0.2486;30;1;30;1.0;1.0;1.0;0.3867200235569105;2;ea.p.n.Maze-9;es-0.25;minimize;0.3867200235569105;464
5;180;180;1.6735;30;1;30;1.0;1.0;1.0;0.3674698680814727;2;ea.p.n.Maze-9;es-0.25;minimize;0.3674698680814727;464
0;30;30;0.2918;30;1;30;1.0;1.0;1.0;0.3485229606959155;1;ea.p.n.Maze-9;es-0.5;minimize;0.3485229606959155;464
5;180;180;1.6422;30;1;30;1.0;1.0;1.0;0.4487023526196198;1;ea.p.n.Maze-9;es-0.5;minimize;0.4487023526196198;464
0;30;30;0.2937;30;1;30;1.0;1.0;1.0;0.3867200235569105;2;ea.p.n.Maze-9;es-0.5;minimize;0.3867200235569105;464
5;180;180;1.7267;30;1;30;1.0;1.0;1.0;0.38194579932443823;2;ea.p.n.Maze-9;es-0.5;minimize;0.38194579932443823;464
0;100;100;0.9394;100;1;100;1.0;1.0;1.0;0.3485229606959155;1;ea.p.n.Maze-9;ga-0.02;minimize;0.3485229606959155;464
0;100;100;0.9054;100;1;100;1.0;1.0;1.0;0.3843284260986825;2;ea.p.n.Maze-9;ga-0.02;minimize;0.3843284260986825;464
0;100;100;0.8403;100;1;100;1.0;1.0;1.0;0.3485229606959155;1;ea.p.n.Maze-9;ga-0.25;minimize;0.3485229606959155;464
0;100;100;0.8816;100;1;100;1.0;1.0;1.0;0.3843284260986825;2;ea.p.n.Maze-9;ga-0.25;minimize;0.3843284260986825;464
0;100;100;0.8704;100;1;100;1.0;1.0;1.0;0.3485229606959155;1;ea.p.n.Maze-9;ga-0.5;minimize;0.3485229606959155;464
0;100;100;0.8544;100;1;100;1.0;1.0;1.0;0.3843284260986825;2;ea.p.n.Maze-9;ga-0.5;minimize;0.3843284260986825;464
