iterations;evals;births;elapsed;all_size;firsts_size;lasts_size;geno_uni;sol_uni;fit_uni;best_fitness;seed;problem;solver_sigma;objective;best→fitness;genotype_size
5;60;60;0.0068;12;1;12;1.0;1.0;1.0;3.6160618189593015;1;ea.p.s.sphere-20;cmaEs;minimize;3.6160618189593015;20
10;120;120;0.0106;12;1;12;1.0;1.0;1.0;2.2337626016967054;1;ea.p.s.sphere-20;cmaEs;minimize;2.2337626016967054;20
15;180;180;0.0144;12;1;12;1.0;1.0;1.0;1.3933133626186611;1;ea.p.s.sphere-20;cmaEs;minimize;1.3933133626186611;20
20;240;240;0.0183;12;1;12;1.0;1.0;1.0;0.974452922805835;1;ea.p.s.sphere-20;cmaEs;minimize;0.974452922805835;20
25;300;300;0.0207;12;1;12;1.0;1.0;1.0;0.3494545486964183;1;ea.p.s.sphere-20;cmaEs;minimize;0.3494545486964183;20
30;360;360;0.028;12;1;12;1.0;1.0;1.0;0.3603915814040937;1;ea.p.s.sphere-20;cmaEs;minimize;0.3603915814040937;20
35;420;420;0.0313;12;1;12;1.0;1.0;1.0;0.1160694697545357;1;ea.p.s.sphere-20;cmaEs;minimize;0.1160694697545357;20
40;480;480;0.0341;12;1;12;1.0;1.0;1.0;0.08020475123447789;1;ea.p.s.sphere-20;cmaEs;minimize;0.08020475123447789;20
5;60;60;0.0054;12;1;12;1.0;1.0;1.0;2.84782359604044;2;ea.p.s.sphere-20;cmaEs;minimize;2.84782359604044;20
10;120;120;0.0079;12;1;12;1.0;1.0;1.0;1.7918007180134041;2;ea.p.s.sphere-20;cmaEs;minimize;1.7918007180134041;20
15;180;180;0.0104;12;1;12;1.0;1.0;1.0;0.7431315287833389;2;ea.p.s.sphere-20;cmaEs;minimize;0.7431315287833389;20
20;240;240;0.017;12;1;12;1.0;1.0;1.0;0.5559665973352218;2;ea.p.s.sphere-20;cmaEs;minimize;0.5559665973352218;20
25;300;300;0.0292;12;1;12;1.0;1.0;1.0;0.23349694972424612;2;ea.p.s.sphere-20;cmaEs;minimize;0.23349694972424612;20
30;360;360;0.0332;12;1;12;1.0;1.0;1.0;0.15084651147938;2;ea.p.s.sphere-20;cmaEs;minimize;0.15084651147938;20
35;420;420;0.0358;12;1;12;1.0;1.0;1.0;0.08427728747872514;2;ea.p.s.sphere-20;cmaEs;minimize;0.08427728747872514;20
40;480;480;0.0389;12;1;12;1.0;1.0;1.0;0.05512741310157243;2;ea.p.s.sphere-20;cmaEs;minimize;0.05512741310157243;20
0;15;15;0.0004;15;1;15;1.0;1.0;1.0;5.175578005045535;1;ea.p.s.sphere-20;differentialEvolution;minimize;5.175578005045535;20
5;90;90;0.0028;15;1;15;1.0;1.0;1.0;3.497953461461198;1;ea.p.s.sphere-20;differentialEvolution;minimize;3.497953461461198;20
10;165;165;0.0054;15;1;15;1.0;1.0;1.0;2.8275135598696;1;ea.p.s.sphere-20;differentialEvolution;minimize;2.8275135598696;20
15;240;240;0.0071;15;1;15;1.0;1.0;1.0;2.2339756149611567;1;ea.p.s.sphere-20;differentialEvolution;minimize;2.2339756149611567;20
