iterations;evals;births;elapsed;all_size;firsts_size;lasts_size;geno_uni;sol_uni;fit_uni;best_fitness;seed;problem;solver_sigma;objective;best→fitness;genotype_size
5;60;60;7.6534;12;1;12;1.0;1.0;1.0;-0.005085605833757997;1;ea.p.v.flat-HoD;cmaEs;maximize;-0.005085605833757997;16
10;120;120;16.6625;12;1;12;1.0;1.0;1.0;-0.019371649164956217;1;ea.p.v.flat-HoD;cmaEs;maximize;-0.019371649164956217;16
15;180;180;25.5874;12;1;12;1.0;1.0;1.0;-0.15402489210245818;1;ea.p.v.flat-HoD;cmaEs;maximize;-0.15402489210245818;16
20;240;240;34.2201;12;1;12;1.0;1.0;1.0;-0.12203072597203647;1;ea.p.v.flat-HoD;cmaEs;maximize;-0.12203072597203647;16
25;300;300;42.9257;12;1;12;1.0;1.0;1.0;-0.05782668418494241;1;ea.p.v.flat-HoD;cmaEs;maximize;-0.05782668418494241;16
30;360;360;51.3016;12;1;12;1.0;1.0;1.0;-0.11685298216528335;1;ea.p.v.flat-HoD;cmaEs;maximize;-0.11685298216528335;16
35;420;420;59.2802;12;1;12;1.0;1.0;1.0;-0.19225853296432854;1;ea.p.v.flat-HoD;cmaEs;maximize;-0.19225853296432854;16
40;480;480;67.5902;12;1;12;1.0;1.0;1.0;-0.24524901548717423;1;ea.p.v.flat-HoD;cmaEs;maximize;-0.24524901548717423;16
45;540;540;75.3903;12;1;12;1.0;1.0;1.0;-0.1895525645672631;1;ea.p.v.flat-HoD;cmaEs;maximize;-0.1895525645672631;16
50;600;600;83.3675;12;1;12;1.0;1.0;1.0;-0.11207876446853587;1;ea.p.v.flat-HoD;cmaEs;maximize;-0.11207876446853587;16
55;660;660;91.31;12;1;12;1.0;1.0;1.0;-0.25706132284363714;1;ea.p.v.flat-HoD;cmaEs;maximize;-0.25706132284363714;16
60;720;720;99.3974;12;1;12;1.0;1.0;1.0;-0.19672041019526035;1;ea.p.v.flat-HoD;cmaEs;maximize;-0.19672041019526035;16
65;780;780;107.44;12;1;12;1.0;1.0;1.0;-0.22810134412002897;1;ea.p.v.flat-HoD;cmaEs;maximize;-0.22810134412002897;16
70;840;840;115.577;12;1;12;1.0;1.0;1.0;-0.2995450460869966;1;ea.p.v.flat-HoD;cmaEs;maximize;-0.2995450460869966;16
75;900;900;124.0769;12;1;12;1.0;1.0;1.0;-0.2339149955969511;1;ea.p.v.flat-HoD;cmaEs;maximize;-0.2339149955969511;16
80;960;960;132.5298;12;1;12;1.0;1.0;1.0;-0.25299801812137657;1;ea.p.v.flat-HoD;cmaEs;maximize;-0.25299801812137657;16
85;1020;1020;140.9272;12;1;12;1.0;1.0;1.0;-0.26740805641527843;1;ea.p.v.flat-HoD;cmaEs;maximize;-0.26740805641527843;16
90;1080;1080;149.8013;12;1;12;1.0;1.0;1.0;-0.11595164167701176;1;ea.p.v.flat-HoD;cmaEs;maximize;-0.11595164167701176;16
95;1140;1140;158.4714;12;1;12;1.0;1.0;1.0;-0.3359479948423845;1;ea.p.v.flat-HoD;cmaEs;maximize;-0.3359479948423845;16
100;1200;1200;167.1897;12;1;12;1.0;1.0;1.0;-0.23437871024727883;1;ea.p.v.flat-HoD;cmaEs;maximize;-0.23437871024727883;16
105;1260;1260;175.8568;12;1;12;1.0;1.0;1.0;-0.2080609769730911;1;ea.p.v.flat-HoD;cmaEs;maximize;-0.2080609769730911;16
110;1320;1320;184.2272;12;1;12;1.0;1.0;1.0;-0.17136148463370807;1;ea.p.v.flat-HoD;cmaEs;maximize;-0.17136148463370807;16
115;1380;1380;192.9946;12;1;12;1.0;1.0;1.0;-0.23352520548208033;1;ea.p.v.flat-HoD;cmaEs;maximize;-0.23352520548208033;16
120;1440;1440;201.4258;12;1;12;1.0;1.0;1.0;-0.3268186388769621;1;ea.p.v.flat-HoD;cmaEs;maximize;-0.3268186388769621;16
125;1500;1500;209.687;12;1;12;1.0;1.0;1.0;-0.2575818014564057;1;ea.p.v.flat-HoD;cmaEs;maximize;-0.2575818014564057;16
5;60;60;7.6173;12;1;12;1.0;1.0;1.0;-0.03538515233382314;2;ea.p.v.flat-HoD;cmaEs;maximize;-0.03538515233382314;16
10;120;120;16.5313;12;1;12;1.0;1.0;1.0;-0.07630497189242312;2;ea.p.v.flat-HoD;cmaEs;maximize;-0.07630497189242312;16
15;180;180;25.4897;12;1;12;1.0;1.0;1.0;-0.03482047602785026;2;ea.p.v.flat-HoD;cmaEs;maximize;-0.03482047602785026;16
20;240;240;34.08;12;1;12;1.0;1.0;1.0;-0.0752951103839636;2;ea.p.v.flat-HoD;cmaEs;maximize;-0.0752951103839636;16
25;300;300;42.7269;12;1;12;1.0;1.0;1.0;-0.16454442053215385;2;ea.p.v.flat-HoD;cmaEs;maximize;-0.16454442053215385;16
30;360;360;51.0285;12;1;12;1.0;1.0;1.0;-0.18991761366515358;2;ea.p.v.flat-HoD;cmaEs;maximize;-0.18991761366515358;16
35;420;420;59.0769;12;1;12;1.0;1.0;1.0;-0.24861028882994232;2;ea.p.v.flat-HoD;cmaEs;maximize;-0.24861028882994232;16
40;480;480;67.3137;12;1;12;1.0;1.0;1.0;-0.15944251470324372;2;ea.p.v.flat-HoD;cmaEs;maximize;-0.15944251470324372;16
45;540;540;75.1489;12;1;12;1.0;1.0;1.0;-0.09261250155687929;2;ea.p.v.flat-HoD;cmaEs;maximize;-0.09261250155687929;16
50;600;600;83.111;12;1;12;1.0;1.0;1.0;-0.11869445914647574;2;ea.p.v.flat-HoD;cmaEs;maximize;-0.11869445914647574;16
55;660;660;91.0303;12;1;12;1.0;1.0;1.0;-0.2697635535973633;2;ea.p.v.flat-HoD;cmaEs;maximize;-0.2697635535973633;16
60;720;720;99.0988;12;1;12;1.0;1.0;1.0;-0.1914951708491002;2;ea.p.v.flat-HoD;cmaEs;maximize;-0.1914951708491002;16
65;780;780;107.1079;12;1;12;1.0;1.0;1.0;-0.1675578848947352;2;ea.p.v.flat-HoD;cmaEs;maximize;-0.1675578848947352;16
70;840;840;115.2808;12;1;12;1.0;1.0;1.0;-0.4327276796581491;2;ea.p.v.flat-HoD;cmaEs;maximize;-0.4327276796581491;16
75;900;900;123.6864;12;1;12;1.0;1.0;1.0;-0.26566827216442795;2;ea.p.v.flat-HoD;cmaEs;maximize;-0.26566827216442795;16
80;960;960;132.3345;12;1;12;1.0;1.0;1.0;-0.22598751798068795;2;ea.p.v.flat-HoD;cmaEs;maximize;-0.22598751798068795;16
85;1020;1020;140.6939;12;1;12;1.0;1.0;1.0;-0.127118623390667;2;ea.p.v.flat-HoD;cmaEs;maximize;-0.127118623390667;16
90;1080;1080;149.5599;12;1;12;1.0;1.0;1.0;-0.24174381647459117;2;ea.p.v.flat-HoD;cmaEs;maximize;-0.24174381647459117;16
95;1140;1140;158.5471;12;1;12;1.0;1.0;1.0;-0.28405782188456274;2;ea.p.v.flat-HoD;cmaEs;maximize;-0.28405782188456274;16
100;1200;1200;167.42;12;1;12;1.0;1.0;1.0;-0.2055858749238674;2;ea.p.v.flat-HoD;cmaEs;maximize;-0.2055858749238674;16
105;1260;1260;176.3122;12;1;12;1.0;1.0;1.0;-0.22484893803188744;2;ea.p.v.flat-HoD;cmaEs;maximize;-0.22484893803188744;16
