cmaEs	differentialEvolution	es-0.02	es-0.25	es-0.5	ga-0.02	ga-0.25	ga-0.5	pso
1.584995546401175	3.8446914702205146	2.036518216374255	3.5964254590925084	3.830722621450804	1.975334534976924	3.785535797723178	3.785535797723178	3.767219741292796
1.5095714702965108	3.829035806698432	2.019319236718563	3.5675605170896323	3.8158135121288166	1.9895605156774503	3.804494524056697	3.804494524056697	3.763844472580584
1.6605659139637765	3.8525712699232817	2.005809257863832	3.555037089032155	3.837033924231613	1.968707695886956	3.79454402935782	3.79454402935782	3.7824845164190646
1.55450499912287	3.806670167236366	2.057808736592893	3.523651130329743	3.805217258940413	2.0554054620954294	3.773741508327384	3.773741508327384	3.768715657186729
1.6069862724561692	3.8241234971298295	1.9621047225937471	3.6024829198116497	3.8241234971298295	1.964925129774088	3.813652899306899	3.813652899306899	3.813652899306899
1.7359185617226776	3.848737755750673	2.0681793148942025	3.598046578225191	3.848737755750673	2.018252605710217	3.749981466989809	3.749981466989809	3.680629967983791
1.487911379530861	3.7926564544361168	2.0642085196948874	3.5252022415423	3.7926564544361168	2.021872929077013	3.787314703193964	3.787314703193964	3.755359175683538
1.625803806655242	3.856901903238253	2.046394033717441	3.594898479643796	3.840660872405785	1.9632999698895583	3.8149863398304977	3.8149863398304977	3.7827779880552233
1.9236129626001677	3.780190403414292	2.069189420899019	3.6380597894114897	3.779614066985961	2.0173728884398128	3.7575177209871424	3.7575177209871424	3.689804436546116
1.5693561124326263	3.8079718469933854	2.070861714847809	3.553318035970815	3.8079718469933854	2.004438655895552	3.7816625014546905	3.7816625014546905	3.7179142450650393
1.8673956318940843	3.835739961606997	2.050786550334742	3.631737126474523	3.8355834496325767	2.0024247923730987	3.770242345702663	3.770242345702663	3.7546487838713856
1.863581306606872	3.817889133163213	2.0265829988833173	3.5985905097766677	3.801853583250861	2.0272358059921207	3.7512073473380094	3.7512073473380094	3.7512073473380094
1.4997250489870706	3.82312751967508	1.957135193822563	3.6246445420035553	3.740918789581816	1.9626998773507904	3.740918789581816	3.740918789581816	3.714654751697904
1.818072953605072	3.828171042479273	2.075215054337534	3.597193500633662	3.828171042479273	1.9792375217217857	3.756487724458531	3.756487724458531	3.742931118998901
1.6677003497735403	3.801985285176134	2.00491932376767	3.662029090423918	3.801985285176134	2.0368364653607327	3.762499226592951	3.762499226592951	3.687134267495417
1.7288053778297905	3.81376710600884	2.031278247276575	3.610703329065757	3.81376710600884	2.0031058194730678	3.7908426341382016	3.7908426341382016	3.7138475443218977
1.869251698498488	3.852636684120772	2.049090652666916	3.571226420535148	3.835469267720527	2.0275601214492487	3.7573500509676703	3.7573500509676703	3.755677457730688
1.5893358462647922	3.805820440823912	2.00077125155423	3.531280951843037	3.805820440823912	2.0275503837405577	3.7982642446945687	3.7982642446945687	3.794042636310021
1.618174380620975	3.846809104572856	2.1353933520822648	3.609244432261669	3.781177037038205	2.0599047958818955	3.781177037038205	3.781177037038205	3.6854191030748464
1.4257349710790383	3.8149890793799313	2.028920404532756	3.594014728943851	3.814083619634048	2.021535977148638	3.7799585095941	3.7799585095941	3.7384986012544776
1.526380055904458	3.7315611558076793	2.09895887415399	3.542924479303967	3.7315611558076793	1.97450742228838	3.7315611558076793	3.7315611558076793	3.6931595255192353
1.4143478610154363	3.8555817334797777	2.017302739823571	3.6053374169135	3.821356278720121	2.017305965009531	3.757249111784504	3.757249111784504	3.757249111784504
1.5118274424357527	3.787244205136919	2.019232015132033	3.50880354556659	3.787244205136919	1.997385821868932	3.785340155566808	3.787244205136919	3.7404832368693737
1.734122757313124	3.79201126189798	2.0045508119098554	3.570607499688724	3.79201126189798	2.0340423597874	3.776936687525009	3.776936687525009	3.77397265465568
1.9279208291949712	3.836293427398041	2.0398288799648125	3.52385409680764	3.823859647643488	1.937394634477464	3.780770818918747	3.780770818918747	3.780770818918747
1.7123029020364844	3.854299618959879	1.9935058101910357	3.588323965500305	3.793179629713479	1.9883235805202275	3.767934506598984	3.767934506598984	3.7454344005284352
1.5670703893156603	3.8449025812213296	2.083133703308196	3.5695917230985086	3.823418854572012	1.940100361984712	3.802451493760565	3.802451493760565	3.765678299206734
1.7375484725461845	3.824626058634515	2.115341242078028	3.646883235673169	3.807937025194005	2.035222114823711	3.759802918901628	3.759802918901628	3.6752521290435927
1.6037581478703091	3.821770268373812	2.073526654392254	3.5919601191566994	3.795810488140067	2.019481242754147	3.791423225215351	3.791423225215351	3.725331039442456
1.629480036280882	3.769691993870737	2.058335006231325	3.5698495852488894	3.769691993870737	1.9989342037728692	3.769691993870737	3.769691993870737	3.744146941523316
