cmaEs	differentialEvolution	es-0.02	es-0.25	es-0.5	ga-0.02	ga-0.25	ga-0.5	pso
425	990	780	630	9930	2100	3100	9600	9600
510	1140	780	630	6630	2100	3100	9600	9600
425	1140	780	480	9930	2100	3100	9600	9600
425	1440	780	480	6930	2100	3100	9600	9600
340	1140	780	480	1530	2600	4100	9600	9600
510	1215	780	480	930	2100	2100	9600	9600
425	1140	780	480	7830	2100	2100	9600	9600
360	465	480	1230	9930	1600	5600	9600	3600
360	690	630	1530	9930	1600	7100	9600	3100
360	615	480	1230	9930	1600	4600	9600	3600
420	690	630	2280	9930	1600	9600	9600	2600
360	465	630	1530	9930	1600	7100	9600	3100
300	765	630	2130	9930	1600	9600	9600	3100
360	540	630	3480	9930	1600	9600	9600	1600
360	690	630	2580	9930	1600	8600	9600	2600
360	690	630	930	9930	1600	9600	9600	3100
360	765	630	1980	9930	1600	3600	9600	3100
300	540	630	1080	9930	1600	5100	9600	3100
360	690	630	1980	9930	1600	7600	9600	1600
360	765	480	630	9930	1600	3100	9600	3100
420	765	630	3630	9930	1600	5100	9600	2100
300	615	630	1830	9930	1100	8600	9600	2100
300	465	630	1230	9930	1600	9600	9600	2100
300	465	630	930	9930	1600	7100	9600	2100
360	540	630	780	9930	1600	5100	9600	2100
360	765	630	1080	9930	1100	7600	9600	1100
300	615	630	1080	9930	1600	6100	9600	2100
300	615	630	3630	9930	1600	3600	9600	3100
420	840	630	1230	9930	1600	4600	9600	3100
360	390	630	330	9930	1600	5600	9600	3600
360	540	630	1380	9930	1600	6600	9600	2600
300	765	630	1380	9930	1600	9600	9600	2100
420	540	630	1230	9930	1600	9600	9600	1600
300	465	630	630	9930	1600	6100	9600	1100
360	840	480	480	9930	1600	7600	9600	2100
300	540	480	930	9930	1600	9600	9600	2100
420	1365	630	1530	9930	1600	2600	9600	2100
475	1815	630	480	2280	2100	3100	9600	9600
380	1440	630	630	7380	2100	3600	9600	9600
570	1365	630	480	1530	2100	3100	9600	9600
475	1740	630	630	1380	2100	3100	9600	9600
475	915	630	480	9180	2100	3600	9600	9600
380	2190	630	480	9930	2100	3100	9600	9600
475	1515	630	630	3330	2100	3100	9600	9600
570	1440	630	480	6330	2100	3600	9600	9600
665	1290	480	480	9930	2100	3100	9600	9600
475	1590	630	480	1680	2100	3100	9600	9600
475	1665	630	630	3480	2100	3600	9600	9600
570	1740	630	480	6330	2100	3100	9600	9600
475	1665	630	330	9930	2100	3100	9600	9600
380	1365	630	630	2880	2100	3100	9600	9600
570	1365	630	480	8280	2100	3600	9600	9600
475	1740	630	480	5880	2100	2600	9600	9600
570	1815	630	480	4530	2100	3100	9600	9600
475	1365	630	630	4080	2100	3600	9600	9600
475	1365	630	480	1080	2100	3100	9600	9600
475	1665	630	480	3030	2100	3600	9600	9600
570	1290	630	630	9930	2100	3100	9600	9600
475	1065	630	630	3330	2100	2600	9600	9600
475	1440	630	480	7380	2100	2600	9600	9600
475	1440	630	480	1080	2100	3600	9600	9600
570	1290	630	480	9930	2100	2600	9600	9600
475	1215	630	480	9930	2100	3600	9600	9600
570	1890	630	630	5580	2100	3100	9600	9600
475	1215	630	480	2730	2100	3100	9600	9600
475	1065	630	480	1380	2100	3600	9600	9600
570	1665	630	480	9930	2100	2600	9600	9600
440	390	180	180	9930	600	2600	9600	9600
440	390	180	180	7380	600	2100	9600	9600
550	390	180	330	9930	600	1600	9600	9600
550	465	180	180	9930	600	2100	9600	600
440	465	180	180	9330	600	1600	9600	9600
440	465	180	180	9930	600	2100	9600	9600
440	390	180	180	9930	600	3100	9600	9600
550	390	180	180	9930	600	2100	9600	7600
440	240	180	180	2730	600	1600	9600	9600
440	465	180	180	7830	600	2100	9600	9600
440	690	180	180	9930	600	1600	9600	9600
440	465	180	180	8580	600	2600	9600	9600
550	615	180	180	9930	600	1600	9600	600
550	315	180	180	8880	600	1600	9600	1100
440	465	180	180	2430	600	1600	9600	9600
330	240	180	180	9930	600	1100	9600	9600
440	465	180	180	9930	600	2100	9600	9600
440	390	180	180	5130	600	2100	9600	9600
440	315	180	180	8130	600	1600	9600	9600
440	465	180	180	9930	600	2100	9600	600
330	465	180	180	9930	600	2100	9600	9600
550	465	180	180	8580	600	2100	9600	1100
550	465	180	180	4380	600	1600	9600	9600
440	540	180	180	2880	600	1600	9600	9600
550	540	180	180	3630	600	1600	9600	9600
550	390	180	180	6330	600	2600	9600	9600
440	240	180	180	1680	600	2100	9600	600
550	315	180	180	7080	600	2100	9600	9600
440	540	180	180	9930	600	2100	9600	9600
330	540	180	180	9930	600	2100	9600	9600
425	1515	630	480	9930	2100	2600	9600	9600
340	990	780	630	9930	2100	3600	9600	9600
595	1290	630	330	2280	2100	2600	9600	9600
510	915	780	480	1080	2600	2600	9600	9600
340	1365	630	480	7080	2100	2600	9600	9600
340	1515	780	480	9930	2100	3100	9600	9600
340	1215	780	630	1830	2100	3100	9600	9600
340	1440	780	480	5580	2100	2600	9600	9600
425	1140	630	480	2130	2100	2100	9600	9600
425	1365	780	630	6180	2100	2600	9600	9600
425	990	780	630	3180	2100	3100	9600	9600
510	1590	780	630	9930	2600	2600	9600	9600
595	1065	630	480	9930	2100	2600	9600	9600
425	1140	780	480	8280	2100	3100	9600	9600
340	1215	780	480	7830	2100	3100	9600	9600
425	1290	630	480	630	2100	2600	9600	9600
510	1140	780	480	6030	2100	3600	9600	9600
510	1965	780	630	1680	2600	2600	9600	9600
425	1140	780	630	5880	2100	2600	9600	9600
425	1590	780	480	5280	2100	2600	9600	9600
